"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0225,2.684,-0.002,2.660,0.000
0.0226,2.687,0.000,2.658,-0.002
0.0227,2.687,0.000,2.659,-0.001
0.0228,2.681,-0.006,2.649,-0.011
0.0229,2.683,-0.004,2.653,-0.007
0.0230,2.684,-0.002,2.657,-0.004
0.0231,2.687,0.000,2.653,-0.007
0.0232,2.692,0.005,2.660,0.000
0.0233,2.687,0.000,2.658,-0.002
0.0234,2.687,0.000,2.655,-0.005
0.0235,2.691,0.004,2.663,0.003
0.0236,2.684,-0.002,2.659,-0.001
0.0237,2.688,0.001,2.665,0.005
0.0238,2.687,0.000,2.666,0.006
0.0239,2.684,-0.002,2.659,-0.001
0.0240,2.688,0.001,2.665,0.005
0.0241,2.689,0.003,2.669,0.009
0.0242,2.684,-0.002,2.657,-0.004
0.0243,2.684,-0.002,2.659,-0.001
0.0244,2.681,-0.006,2.659,-0.001
0.0245,2.688,0.001,2.659,-0.001
0.0246,2.691,0.004,2.665,0.005
0.0247,2.686,-0.001,2.658,-0.002
0.0248,2.693,0.006,2.661,0.001
0.0249,2.695,0.009,2.664,0.004
0.0250,2.688,0.001,2.654,-0.006
0.0251,2.689,0.003,2.655,-0.005
0.0252,2.687,0.000,2.660,0.000
0.0253,2.683,-0.004,2.655,-0.005
0.0254,2.686,-0.001,2.665,0.005
0.0255,2.676,-0.011,2.661,0.001
0.0256,2.678,-0.008,2.658,-0.002
0.0257,2.682,-0.005,2.660,0.000
0.0258,2.677,-0.010,2.658,-0.002
0.0259,2.687,0.000,2.660,0.000
0.0260,2.692,0.005,2.670,0.010
0.0261,2.693,0.006,2.666,0.006
0.0262,2.692,0.005,2.664,0.004
0.0263,2.688,0.001,2.664,0.004
0.0264,2.687,0.000,2.654,-0.006
0.0265,2.692,0.005,2.658,-0.002
0.0266,2.688,0.001,2.658,-0.002
0.0267,2.692,0.005,2.655,-0.005
0.0268,2.697,0.010,2.664,0.004
0.0269,2.687,0.000,2.654,-0.006
0.0270,2.688,0.001,2.658,-0.002
0.0271,2.688,0.001,2.660,0.000
0.0272,2.683,-0.004,2.655,-0.005
0.0273,2.689,0.003,2.660,0.000
0.0274,2.683,-0.004,2.660,0.000
0.0275,2.687,0.000,2.658,-0.002
0.0276,2.691,0.004,2.664,0.004
0.0277,2.684,-0.002,2.664,0.004
0.0278,2.692,0.005,2.666,0.006
0.0279,2.692,0.005,2.670,0.010
0.0280,2.689,0.003,2.664,0.004
0.0281,2.695,0.009,2.668,0.007
0.0282,2.691,0.004,2.665,0.005
0.0283,2.686,-0.001,2.657,-0.004
0.0284,2.689,0.003,2.660,0.000
0.0285,2.687,0.000,2.659,-0.001
0.0286,2.682,-0.005,2.651,-0.010
0.0287,2.688,0.001,2.661,0.001
0.0288,2.681,-0.006,2.658,-0.002
0.0289,2.684,-0.002,2.659,-0.001
0.0290,2.689,0.003,2.660,0.000
0.0291,2.680,-0.007,2.655,-0.005
0.0292,2.686,-0.001,2.659,-0.001
0.0293,2.687,0.000,2.665,0.005
0.0294,2.681,-0.006,2.655,-0.005
0.0295,2.683,-0.004,2.658,-0.002
0.0296,2.682,-0.005,2.658,-0.002
0.0297,2.682,-0.005,2.652,-0.008
0.0298,2.688,0.001,2.660,0.000
0.0299,2.686,-0.001,2.657,-0.004
0.0300,2.692,0.005,2.660,0.000
0.0301,2.693,0.006,2.660,0.000
0.0302,2.681,-0.006,2.647,-0.013
0.0303,2.688,0.001,2.657,-0.004
0.0304,2.686,-0.001,2.659,-0.001
0.0305,2.682,-0.005,2.654,-0.006
0.0306,2.686,-0.001,2.660,0.000
0.0307,2.682,-0.005,2.660,0.000
0.0308,2.686,-0.001,2.660,0.000
0.0309,2.691,0.004,2.666,0.006
0.0310,2.687,0.000,2.665,0.005
0.0311,2.691,0.004,2.660,0.000
0.0312,2.688,0.001,2.664,0.004
0.0313,2.686,-0.001,2.657,-0.004
0.0314,2.684,-0.002,2.655,-0.005
0.0315,2.686,-0.001,2.659,-0.001
0.0316,2.684,-0.002,2.649,-0.011
0.0317,2.689,0.003,2.658,-0.002
0.0318,2.687,0.000,2.659,-0.001
0.0319,2.687,0.000,2.658,-0.002
0.0320,2.693,0.006,2.666,0.006
0.0321,2.683,-0.004,2.658,-0.002
0.0322,2.684,-0.002,2.658,-0.002
0.0323,2.687,0.000,2.666,0.006
0.0324,2.678,-0.008,2.654,-0.006
0.0325,2.681,-0.006,2.657,-0.004
0.0326,2.678,-0.008,2.658,-0.002
0.0327,2.681,-0.006,2.654,-0.006
0.0328,2.687,0.000,2.658,-0.002
0.0329,2.682,-0.005,2.658,-0.002
0.0330,2.683,-0.004,2.655,-0.005
0.0331,2.687,0.000,2.660,0.000
0.0332,2.682,-0.005,2.657,-0.004
0.0333,2.688,0.001,2.660,0.000
0.0334,2.697,0.010,2.668,0.007
0.0335,2.688,0.001,2.657,-0.004
0.0336,2.692,0.005,2.658,-0.002
0.0337,2.691,0.004,2.664,0.004
0.0338,2.687,0.000,2.654,-0.006
0.0339,2.688,0.001,2.660,0.000
0.0340,2.680,-0.007,2.658,-0.002
0.0341,2.686,-0.001,2.664,0.004
0.0342,2.686,-0.001,2.664,0.004
0.0343,2.677,-0.010,2.658,-0.002
0.0344,2.686,-0.001,2.658,-0.002
0.0345,2.684,-0.002,2.663,0.003
0.0346,2.681,-0.006,2.655,-0.005
0.0347,2.688,0.001,2.665,0.005
0.0348,2.687,0.000,2.666,0.006
0.0349,2.687,0.000,2.658,-0.002
0.0350,2.691,0.004,2.660,0.000
0.0351,2.688,0.001,2.659,-0.001
0.0352,2.688,0.001,2.655,-0.005
0.0353,2.692,0.005,2.660,0.000
0.0354,2.687,0.000,2.653,-0.007
0.0355,2.693,0.006,2.657,-0.004
0.0356,2.691,0.004,2.661,0.001
0.0357,2.684,-0.002,2.653,-0.007
0.0358,2.691,0.004,2.661,0.001
0.0359,2.686,-0.001,2.660,0.000
0.0360,2.683,-0.004,2.655,-0.005
0.0361,2.688,0.001,2.664,0.004
0.0362,2.677,-0.010,2.657,-0.004
0.0363,2.686,-0.001,2.658,-0.002
0.0364,2.687,0.000,2.666,0.006
0.0365,2.684,-0.002,2.659,-0.001
0.0366,2.688,0.001,2.660,0.000
0.0367,2.689,0.003,2.665,0.005
0.0368,2.683,-0.004,2.654,-0.006
0.0369,2.689,0.003,2.660,0.000
0.0370,2.683,-0.004,2.657,-0.004
0.0371,2.682,-0.005,2.653,-0.007
0.0372,2.691,0.004,2.661,0.001
0.0373,2.686,-0.001,2.660,0.000
0.0374,2.692,0.005,2.661,0.001
0.0375,2.689,0.003,2.664,0.004
0.0376,2.682,-0.005,2.653,-0.007
0.0377,2.687,0.000,2.659,-0.001
0.0378,2.684,-0.002,2.664,0.004
0.0379,2.684,-0.002,2.660,0.000
0.0380,2.688,0.001,2.666,0.006
0.0381,2.687,0.000,2.669,0.009
0.0382,2.686,-0.001,2.659,-0.001
0.0383,2.689,0.003,2.665,0.005
0.0384,2.688,0.001,2.664,0.004
0.0385,2.688,0.001,2.658,-0.002
0.0386,2.693,0.006,2.661,0.001
0.0387,2.688,0.001,2.654,-0.006
0.0388,2.694,0.007,2.660,0.000
0.0389,2.688,0.001,2.660,0.000
0.0390,2.687,0.000,2.655,-0.005
0.0391,2.691,0.004,2.660,0.000
0.0392,2.682,-0.005,2.659,-0.001
0.0393,2.682,-0.005,2.653,-0.007
0.0394,2.682,-0.005,2.658,-0.002
0.0395,2.680,-0.007,2.657,-0.004
0.0396,2.684,-0.002,2.657,-0.004
0.0397,2.682,-0.005,2.660,0.000
0.0398,2.678,-0.008,2.651,-0.010
0.0399,2.682,-0.005,2.653,-0.007
0.0400,2.684,-0.002,2.660,0.000
0.0401,2.684,-0.002,2.654,-0.006
0.0402,2.686,-0.001,2.655,-0.005
0.0403,2.682,-0.005,2.654,-0.006
0.0404,2.684,-0.002,2.652,-0.008
0.0405,2.691,0.004,2.658,-0.002
0.0406,2.682,-0.005,2.651,-0.010
0.0407,2.688,0.001,2.657,-0.004
0.0408,2.687,0.000,2.663,0.003
0.0409,2.682,-0.005,2.654,-0.006
0.0410,2.686,-0.001,2.657,-0.004
0.0411,2.678,-0.008,2.658,-0.002
0.0412,2.680,-0.007,2.653,-0.007
0.0413,2.683,-0.004,2.660,0.000
0.0414,2.682,-0.005,2.664,0.004
0.0415,2.686,-0.001,2.658,-0.002
0.0416,2.688,0.001,2.668,0.007
0.0417,2.683,-0.004,2.658,-0.002
0.0418,2.687,0.000,2.660,0.000
0.0419,2.689,0.003,2.666,0.006
0.0420,2.688,0.001,2.663,0.003
0.0421,2.701,0.015,2.671,0.011
0.0422,2.694,0.007,2.666,0.006
0.0423,2.688,0.001,2.659,-0.001
0.0424,2.694,0.007,2.665,0.005
0.0425,2.683,-0.004,2.659,-0.001
0.0426,2.688,0.001,2.660,0.000
0.0427,2.691,0.004,2.668,0.007
0.0428,2.687,0.000,2.668,0.007
0.0429,2.692,0.005,2.669,0.009
0.0430,2.688,0.001,2.668,0.007
0.0431,2.684,-0.002,2.658,-0.002
0.0432,2.693,0.006,2.668,0.007
0.0433,2.692,0.005,2.670,0.010
0.0434,2.691,0.004,2.659,-0.001
0.0435,2.694,0.007,2.668,0.007
0.0436,2.687,0.000,2.661,0.001
0.0437,2.691,0.004,2.659,-0.001
0.0438,2.694,0.007,2.664,0.004
0.0439,2.683,-0.004,2.652,-0.008
0.0440,2.691,0.004,2.657,-0.004
0.0441,2.693,0.006,2.664,0.004
0.0442,2.684,-0.002,2.654,-0.006
0.0443,2.688,0.001,2.659,-0.001
0.0444,2.682,-0.005,2.658,-0.002
0.0445,2.684,-0.002,2.658,-0.002
0.0446,2.687,0.000,2.659,-0.001
0.0447,2.676,-0.011,2.653,-0.007
0.0448,2.681,-0.006,2.652,-0.008
0.0449,2.682,-0.005,2.658,-0.002
0.0450,2.682,-0.005,2.654,-0.006
0.0451,2.687,0.000,2.660,0.000
0.0452,2.686,-0.001,2.661,0.001
0.0453,2.678,-0.008,2.653,-0.007
0.0454,2.687,0.000,2.660,0.000
0.0455,2.684,-0.002,2.658,-0.002
0.0456,2.687,0.000,2.655,-0.005
0.0457,2.693,0.006,2.661,0.001
0.0458,2.682,-0.005,2.654,-0.006
0.0459,2.688,0.001,2.658,-0.002
0.0460,2.691,0.004,2.666,0.006
0.0461,2.687,0.000,2.658,-0.002
0.0462,2.686,-0.001,2.657,-0.004
0.0463,2.681,-0.006,2.664,0.004
0.0464,2.684,-0.002,2.657,-0.004
